,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
354,Turkey,Human,Human,Mammal,High,No,
355,Cambodia,Stork,Wild,Avian,Low,No,
356,Cambodia,Environment,Unknown,Unknown,,Yes,
357,Cambodia,Chicken,Domestic,Avian,High,No,
358,Cambodia,Human,Human,Mammal,High,No,
359,Cambodia,Duck,Domestic,Avian,High,No,
360,Hungary,Goose,Unknown,Avian,,Yes,
361,Hungary,Mute Swan,Wild,Avian,Low,No,
362,Hungary,Swine,Domestic,Mammal,High,No,
363,Hungary,Human,Human,Mammal,High,No,
364,Switzerland,Horse,Domestic,Mammal,High,No,
365,Switzerland,Human,Human,Mammal,High,No,
366,New Zealand,Mallard,Wild,Avian,Low,No,
367,New Zealand,Human,Human,Mammal,High,No,
368,South Korea,Baikal Teal,Wild,Avian,Low,No,
369,South Korea,Horse,Domestic,Mammal,High,No,
370,South Korea,Eurasian Eagle-Owl,Wild,Avian,Low,No,
371,South Korea,Domestic Cat,Domestic,Mammal,High,No,
372,South Korea,Teal,Wild,Avian,Low,No,
373,South Korea,Aquatic Bird,Wild,Avian,Low,No,
374,South Korea,Common Coot,Wild,Avian,Low,No,
375,South Korea,Dog,Domestic,Mammal,High,No,
376,South Korea,Environment,Unknown,Unknown,,Yes,
377,South Korea,Mallard,Wild,Avian,Low,No,
378,South Korea,Waterfowl,Wild,Avian,Low,No,
379,South Korea,Swine,Domestic,Mammal,High,No,
380,South Korea,Human,Human,Mammal,High,No,
381,South Korea,Duck,Domestic,Avian,High,No,
382,South Korea,Goose,Domestic,Avian,High,No,
383,South Korea,Chicken,Domestic,Avian,High,No,
384,South Korea,Tundra Swan,Wild,Avian,Low,No,
385,South Korea,Bird,Unknown,Avian,,Yes,
386,Cote dIvoire,Turkey,Domestic,Avian,High,No,
387,Cote dIvoire,Chicken,Domestic,Avian,High,No,
388,Cote dIvoire,Duck,Domestic,Avian,High,No,
389,Pakistan,Chicken,Domestic,Avian,High,No,
390,Croatia,Mute Swan,Wild,Avian,Low,No,
391,Iraq,Human,Human,Mammal,High,No,
392,Myanmar,Quail,Domestic,Avian,High,No,
393,Myanmar,Chicken,Domestic,Avian,High,No,
394,Myanmar,Human,Human,Mammal,High,No,
395,Portugal,Tufted Duck,Wild,Avian,Low,No,
396,Portugal,Mallard,Wild,Avian,Low,No,
397,Mexico,Cinnamon Teal,Wild,Avian,Low,No,
398,Mexico,Chicken,Domestic,Avian,High,No,
399,Mexico,Swine,Domestic,Mammal,High,No,
400,Mexico,Human,Human,Mammal,High,No,
401,Egypt,Turkey,Domestic,Avian,High,No,
402,Egypt,Avian,Unknown,Avian,,Yes,
403,Egypt,Goose,Domestic,Avian,High,No,
404,Egypt,Whiskered Tern,Wild,Avian,Low,No,
405,Egypt,Duck,Domestic,Avian,High,No,
406,Egypt,Chicken,Domestic,Avian,High,No,
407,United Arab Emirates,Chicken,Domestic,Avian,High,No,
408,Guam,Human,Human,Mammal,High,No,
409,South Africa,Horse,Domestic,Mammal,High,No,
410,South Africa,Human,Human,Mammal,High,No,
411,South Africa,Ostrich,Wild,Avian,Low,No,
412,Viet Nam,Goose,Domestic,Avian,High,No,
413,Viet Nam,Aquatic Bird,Wild,Avian,Low,No,
414,Viet Nam,Duck,Domestic,Avian,High,No,
415,Viet Nam,Japanese Quail,Domestic,Avian,High,No,
416,Viet Nam,Environment,Unknown,Avian,,Yes,
417,Viet Nam,Mallard,Wild,Avian,Low,No,
418,Viet Nam,Swine,Domestic,Mammal,High,No,
419,Viet Nam,Human,Human,Mammal,High,No,
420,Viet Nam,Flycatcher,Wild,Avian,Low,No,
421,Viet Nam,Quail,Domestic,Avian,High,No,
422,Viet Nam,Chicken,Domestic,Avian,High,No,
423,Viet Nam,Muscovy Duck,Domestic,Avian,High,No,
424,Viet Nam,Dove,Wild,Avian,Low,No,
425,Viet Nam,Babbler,Wild,Avian,Low,No,
426,United Kingdom,Horse,Domestic,Mammal,High,No,
427,United Kingdom,Swine,Domestic,Mammal,High,No,
428,United Kingdom,Human,Human,Mammal,High,No,
429,Malaysia,Human,Human,Mammal,High,No,
430,Malaysia,Duck,Domestic,Avian,High,No,
431,Austria,Horse,Domestic,Mammal,High,No,
432,Austria,Human,Human,Mammal,High,No,
433,Uganda,Human,Human,Mammal,High,No,
434,Greece,Human,Human,Mammal,High,No,
435,Colombia,Human,Human,Mammal,High,No,
436,Japan,Eagle,Wild,Avian,Low,No,
437,Japan,Avian,Unknown,Avian,,Yes,
438,Japan,Falcon,Wild,Avian,Low,No,
439,Japan,Crow,Wild,Avian,Medium,No,Synanthropic
440,Japan,Swan,Wild,Avian,Low,No,
441,Japan,Whooper Swan,Wild,Avian,Low,No,
442,Japan,Peregrine Falcon,Wild,Avian,Low,No,
443,Japan,Northern Pintail,Wild,Avian,Low,No,
444,Japan,Mallard,Wild,Avian,Low,No,
445,Japan,Parakeet,Wild,Avian,Medium,Yes,Pet or exhibit bird. Check surveillance data
446,Japan,Human,Human,Mammal,High,No,
447,Japan,Duck,Unknown,Avian,,Yes,
448,Japan,Tufted Duck,Wild,Avian,Low,No,
449,Japan,Quail,Domestic,Avian,High,No,
450,Japan,Chicken,Domestic,Avian,High,No,
451,Japan,Tundra Swan,Wild,Avian,Low,No,
452,Japan,Crane,Wild,Avian,Low,No,
453,Japan,Swine,Domestic,Mammal,High,No,
454,Taiwan,Ferret,Domestic,Mammal,High,No,Farmed/pet
455,Taiwan,Swine,Domestic,Mammal,High,No,
456,Taiwan,Human,Human,Mammal,High,No,
457,Taiwan,Duck,Domestic ,Avian,High,No,
458,Taiwan,Partridge,Domestic ,Avian,High,No,
459,Taiwan,Chicken,Domestic,Avian,High,No,
460,Nicaragua,Human,Human,Mammal,High,No,
