,Country,Species,Habitat/setting,Host,Human-interface,Check surveillance data,Notes
460,India,Aquatic Bird,Wild,Avian,Low,No,
461,India,Chicken,Domestic,Avian,High,No,
462,India,Human,Human,Mammal,High,No,
463,Nepal,Human,Human,Mammal,High,No,
464,Mongolia,Herring Gull,Wild,Avian,Low,No,
465,Mongolia,Camel,Domestic,Mammal,High,No,
466,Mongolia,Black-Headed Gull,Wild,Avian,Low,No,
467,Mongolia,Common Goldeneye,Wild,Avian,Low,No,
468,Mongolia,Whooper Swan,Wild,Avian,Low,No,
469,Mongolia,Red-Crested Pochard,Wild,Avian,Low,No,
470,Mongolia,Human,Human,Mammal,High,No,
471,Mongolia,Duck,Wild,Avian,Low,No,No poultry in Mongolia
472,France,Turkey,Domestic,Avian,High,No,
473,France,Mallard,Wild,Avian,Low,No,
474,France,Swine,Domestic,Mammal,High,No,
475,France,Human,Human,Mammal,High,No,
476,France,Duck,Domestic,Avian,High,No,
477,France,Muscovy Duck,Domestic,Avian,High,No,
478,Luxembourg,Human,Human,Mammal,High,No,
479,Georgia,Garganey,Wild,Avian,Low,No,
480,Georgia,Gull,Wild,Avian,Low,No,
481,Georgia,Northern Shoveler,Wild,Avian,Low,No,
482,Georgia,Black-Headed Gull,Wild,Avian,Low,No,
483,Georgia,Mallard,Wild,Avian,Low,No,
484,Georgia,Teal,Wild,Avian,Low,No,
485,Georgia,Duck,Domestic,Avian,High,No,Unlikely to be wild. Can ask Nicola Lewis.
486,Peru,Human,Human,Mammal,High,No,
487,Laos,Environment,Unknown,Unknown,,Yes,
488,Laos,Chicken,Domestic,Avian,High,No,
489,Laos,Pigeon,Wild,Avian,Medium,No,Synanthropic
490,Laos,Duck,Domestic,Avian,High,No,
491,Argentina,Rosy-Billed Pochard,Wild,Avian,Low,No,
492,Argentina,Horse,Domestic,Mammal,High,No,
493,Argentina,Human,Human,Mammal,High,No,
494,Bolivia,Human,Human,Mammal,High,No,
495,Norway,Swine,Domestic,Mammal,High,No,
496,Norway,Human,Human,Mammal,High,No,
497,Nigeria,Guineafowl,Domestic,Avian,High,No,
498,Nigeria,Chicken,Domestic,Avian,High,No,
499,Nigeria,Ostrich,Domestic,Avian,High,No,
500,Ecuador,Human,Human,Mammal,High,No,
501,Czech Republic,Swine,Domestic,Mammal,High,No,
502,Czech Republic,Human,Human,Mammal,High,No,
503,Israel,Turkey,Domestic,Avian,High,No,
504,Israel,Chicken,Domestic,Avian,High,No,
505,Israel,Avian,Domestic,Avian,High,No,
506,Australia,Avian,Unknown,Avian,,Yes,Go Aussie.
507,Australia,Teal,Wild,Avian,Low,No,
508,Australia,Black Duck,Wild,Avian,Low,No,
509,Australia,Sooty Tern,Wild,Avian,Low,No,
510,Australia,Emu,Wild,Avian,Low,No,
511,Australia,Starling,Wild,Avian,Medium,No,Synanthropic
512,Australia,Human,Human,Mammal,High,No,
513,Australia,Duck,Wild,Avian,Low,No,
514,Australia,Chicken,Domestic,Avian,High,No,
515,Australia,Red-Necked Stint,Wild,Avian,Low,No,
516,Australia,Sharp-Tailed Sandpiper,Wild,Avian,Low,No,
517,Iran,Chicken,Domestic,Avian,High,No,
518,Bhutan,Chicken,Domestic,Avian,High,No,
519,Indonesia,Quail,Domestic,Avian,High,No,
520,Indonesia,Chicken,Domestic,Avian,High,No,
521,Indonesia,Swine,Domestic,Mammal,High,No,
522,Indonesia,Human,Human,Mammal,High,No,
523,Indonesia,Duck,Domestic,Avian,High,No,
524,Singapore,Human,Human,Mammal,High,No,
525,El Salvador,Human,Human,Mammal,High,No,
526,Iceland,Iceland Gull,Wild,Avian,Low,No,
527,Iceland,Herring Gull,Wild,Avian,Low,No,
